id,name,type,sub_type,governorate,area,lat,lng,beds_pre_war,specialization,pre_war_status,post_war_status,introduction,notes,Image_url,
FAC-041,MSF Clinic,Clinic,MSF Facility,Gaza,Gaza City,,,,Emergency / Trauma,Operational,,,Operated by MSF,,View Hospital
FAC-042,MSF Urgent Care Unit - Khan Younis,Clinic,MSF Facility,Khan Younis,Khan Younis,,,,Emergency,Operational,,,Operated by MSF,,View Hospital
FAC-043,Noura Al-Kaabi Specialist Dialysis Centre,Clinic,Specialist Centre,Gaza,Gaza City,,,,Dialysis / Nephrology,Operational,,,,,View Hospital
FAC-044,Al-Zaytoun Medical Clinic,Clinic,Medical Clinic,Gaza,Gaza City,,,,Primary Care,Operational,Closed,,,,View Hospital
FAC-045,Qararah Health Care Center,Clinic,Medical Clinic,Khan Younis,Al Qarara,,,,Primary Care,Operational,,,,,View Hospital
FAC-046,Solidarity Polyclinic,Clinic,Polyclinic,Deir al-Balah,Deir al-Balah,,,,Primary Care,Operational,Closed,,,,View Hospital
FAC-047,Algerian Specialized Hospital,Hospital,General Hospital,Khan Younis,Khan Younis,31.32625315,34.3463425,45,Primary Care,Operational,Closed,,,,
FAC-048,Muscat Al-Qarara Health Centre,Clinic,Medical Clinic,Khan Younis,Al Qarara,,,,Primary Care,Operational,Closed,,,https://x.com/AlbaloushiAmna/status/1739979096128639241,
FAC-049,Al-Mawasi Clinic,Clinic,Medical Clinic,Khan Younis,Khan Younis,,,,Primary Care,Operational,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
